route,route_mean_price,route_median_price,route_min_price,route_max_price,route_count,route_price_range
Campo Grande (MS) → Recife (PE),995.8427765309394,991.22,659.43,1262.23,3119,602.8000000000001
Campo Grande (MS) → Rio de Janeiro (RJ),1370.4498671497583,1363.27,946.55,1754.17,1656,807.6200000000001
Campo Grande (MS) → Salvador (BH),895.8274551569507,834.61,615.26,1149.38,1784,534.1200000000001
Campo Grande (MS) → Sao Paulo (SP),525.7831267493002,536.98,375.51,684.65,2501,309.14
Florianopolis (SC) → Aracaju (SE),1246.6207417763158,1248.7,819.41,1582.1,6080,762.6899999999999
Florianopolis (SC) → Brasilia (DF),888.1029994486307,885.37,555.01,1127.36,5441,572.3499999999999
Florianopolis (SC) → Campo Grande (MS),740.464299474606,714.86,478.02,949.58,5710,471.56000000000006
Florianopolis (SC) → Natal (RN),1110.3787755981891,1128.51,726.95,1385.49,4639,658.54
Florianopolis (SC) → Recife (PE),1010.7009181561618,1013.4,674.52,1300.6,5315,626.0799999999999
Florianopolis (SC) → Rio de Janeiro (RJ),473.73836041358936,481.42,313.62,624.89,4062,311.27
Florianopolis (SC) → Salvador (BH),1347.0466766020863,1367.88,898.67,1692.64,4026,793.9700000000001
Florianopolis (SC) → Sao Paulo (SP),596.1205757382621,577.76,426.91,762.89,4707,335.97999999999996
Natal (RN) → Aracaju (SE),481.71591895803186,479.37,301.61,611.59,2764,309.98
Natal (RN) → Brasilia (DF),996.7526552868659,919.89,686.79,1300.53,2109,613.74
Natal (RN) → Campo Grande (MS),740.1972302863868,748.52,470.16,979.56,2549,509.3999999999999
Natal (RN) → Florianopolis (SC),1258.9830004268033,1212.58,873.07,1570.02,4686,696.9499999999999
Natal (RN) → Recife (PE),604.1755280118989,579.62,406.36,806.91,2017,400.54999999999995
Natal (RN) → Rio de Janeiro (RJ),1120.7353303303303,1102.93,755.71,1391.6,666,635.8899999999999
Natal (RN) → Salvador (BH),1357.0686490683229,1315.97,922.87,1747.31,644,824.4399999999999
Natal (RN) → Sao Paulo (SP),897.9786482334869,879.87,583.17,1148.78,1302,565.61
Recife (PE) → Aracaju (SE),982.0107940663175,932.84,663.23,1300.81,3438,637.5799999999999
Recife (PE) → Brasilia (DF),598.5703076338776,638.63,393.68,721.93,2633,328.24999999999994
Recife (PE) → Campo Grande (MS),865.8700415468201,832.77,563.71,1110.76,3129,547.05
Recife (PE) → Florianopolis (SC),1119.5755673758865,1074.75,761.2,1434.38,5358,673.1800000000001
Recife (PE) → Natal (RN),505.5368575697211,488.73,301.51,669.83,2008,368.32000000000005
Recife (PE) → Rio de Janeiro (RJ),1349.1178293983244,1351.89,908.93,1706.89,1313,797.9600000000002
Recife (PE) → Salvador (BH),1261.0436117059244,1249.83,842.11,1596.61,1401,754.4999999999999
Recife (PE) → Sao Paulo (SP),745.0876994615761,670.13,513.06,980.83,2043,467.7700000000001
Rio de Janeiro (RJ) → Aracaju (SE),1127.5132206861238,1098.93,734.09,1446.4,1953,712.3100000000001
Rio de Janeiro (RJ) → Brasilia (DF),514.5904992867332,503.26,364.34,688.06,1402,323.71999999999997
Rio de Janeiro (RJ) → Campo Grande (MS),1240.649647887324,1219.71,849.52,1566.26,1704,716.74
Rio de Janeiro (RJ) → Florianopolis (SC),741.2207395577396,708.27,519.1,961.99,4070,442.89
Rio de Janeiro (RJ) → Natal (RN),1018.028524590164,998.18,670.29,1297.49,671,627.2
Rio de Janeiro (RJ) → Recife (PE),1363.4691209616828,1333.52,932.59,1702.23,1331,769.64
Rio de Janeiro (RJ) → Sao Paulo (SP),615.753978978979,645.44,446.75,753.78,666,307.03
Salvador (BH) → Aracaju (SE),1238.3527672035138,1247.02,811.73,1581.59,2049,769.8599999999999
Salvador (BH) → Brasilia (DF),861.7692867231639,882.86,587.85,1040.84,1416,452.9899999999999
Salvador (BH) → Campo Grande (MS),766.6648203080433,774.52,494.29,980.4,1753,486.10999999999996
Salvador (BH) → Florianopolis (SC),1345.5777601191953,1336.68,899.6,1657.48,4027,757.88
Salvador (BH) → Natal (RN),984.3335816164818,1001.42,659.8,1241.04,631,581.24
Salvador (BH) → Recife (PE),1129.0670509193776,1103.23,751.37,1440.25,1414,688.88
Salvador (BH) → Sao Paulo (SP),527.9655686853766,531.49,358.62,676.46,677,317.84000000000003
Sao Paulo (SP) → Aracaju (SE),978.3255446664153,962.54,647.9,1269.73,2653,621.83
Sao Paulo (SP) → Brasilia (DF),607.1366450970633,602.12,389.47,824.31,2009,434.8399999999999
Sao Paulo (SP) → Campo Grande (MS),487.76909664694284,447.53,335.16,668.19,2535,333.03000000000003
Sao Paulo (SP) → Florianopolis (SC),1381.4078127677806,1370.17,908.17,1718.28,4668,810.11
Sao Paulo (SP) → Natal (RN),752.6288289676426,719.91,488.57,946.36,1298,457.79
Sao Paulo (SP) → Recife (PE),1225.9630950048972,1195.26,827.12,1573.5,2042,746.38
Sao Paulo (SP) → Rio de Janeiro (RJ),858.5492783505155,861.9,593.13,1092.94,679,499.81000000000006
Sao Paulo (SP) → Salvador (BH),1119.8750802919708,1118.61,743.6,1427.22,685,683.62
